product_id,product_name,category,price
1,Laptop,Books,103.21541838587451
2,Headphones,Beauty,318.2991762973812
3,Smartwatch,Electronics,979.7154233352935
4,Smartwatch,Beauty,183.57696719044515
5,Laptop,Books,26.989490813432734
6,Tablet,Books,10000.0
7,Phone,Books,808.8438472802717
8,Laptop,Beauty,352.8412778785068
9,Phone,Books,470.0270748102153
10,Phone,Beauty,653.2759458163357
11,Tablet,Books,1.0
12,Phone,Home,949.6542742754721
13,Phone,Books,887.8135834250671
14,Tablet,Beauty,268.2846871082968
15,Phone,Fashion,25.1514948874809
16,,Books,934.1019449986882
17,Phone,Fashion,506.02948507610665
18,Laptop,Home,543.9836739160619
19,Laptop,Electronics,687.1241317041597
20,Laptop,Home,619.6926527460147
21,Tablet,Books,944.4526885151496
22,Smartwatch,Fashion,944.8090811539157
23,Phone,Fashion,868.5269442194538
24,Phone,Beauty,640.0395614715511
25,Tablet,Fashion,802.9398017355758
26,Phone,Beauty,680.3966589591519
27,Laptop,Electronics,577.633371255214
28,Smartwatch,Books,137.21534970157109
29,Headphones,Beauty,813.092134968643
30,Phone,Electronics,822.4330809865158
31,Laptop,Fashion,629.6802734005571
32,Headphones,Fashion,822.2225753335554
33,Smartwatch,Electronics,654.9699241392101
34,Headphones,Fashion,214.61751627797793
35,Laptop,Electronics,281.2215160479224
36,Headphones,Beauty,222.44322851129039
37,Tablet,Beauty,383.4864923956961
38,Headphones,Electronics,48.57350098713129
39,Phone,Beauty,622.0713454945139
40,Phone,Beauty,343.18867273983926
41,Tablet,Beauty,659.1654090269348
42,Laptop,Home,391.5426547559094
43,Phone,Books,684.7975322830619
44,Smartwatch,Fashion,347.21832376959765
45,Phone,Home,268.0875829535441
46,Phone,Beauty,501.07707975047214
47,Laptop,Electronics,695.96145510502
48,Headphones,Beauty,354.8532384086654
49,Phone,Books,937.2816703371502
50,Tablet,Beauty,48.79446340888979
